# %ECSV 0.9
# ---
# datatype:
# - {name: lambda, unit: nm, datatype: float64}
# - {name: theta, unit: degree, datatype: float64}
# - {name: o0, datatype: float64}
# - {name: o1, datatype: float64}
# - {name: o2, datatype: float64}
# - {name: o3, datatype: float64}
# - {name: o4, datatype: float64}
# - {name: o5, datatype: float64}
# - {name: o6, datatype: float64}
# - {name: o7, datatype: float64}
# - {name: o8, datatype: float64}
# - {name: o9, datatype: float64}
# - {name: o10, datatype: float64}
# - {name: o11, datatype: float64}
# - {name: o12, datatype: float64}
# meta: !!omap
# - keywords: !!omap
#   - {Author: Ralf Heilmann}
#   - {ORIGFILE: Si_4um_deep_30pct_dc.xlsx}
#   - {Description: Calculated grating efficiencies}
#   - {Grating: Si 4 my deep}
lambda theta o0 o1 o2 o3 o4 o5 o6 o7 o8 o9 o10 o11 o12
0.8 1.2 0.0558198741 0.221111646 0.073669257 0.0665055356 0.0239972626 0.007047373 0.0037474103 0.0054018727 0.0091935001 0.0091319062 0.0231279057 0.0236117288 0.0019439615
0.8 1.25 0.0551033149 0.230312233 0.0798909189 0.0669936458 0.0218948314 0.0059047747 0.0022541573 0.0024329761 0.0042620096 0.0050324683 0.0173595347 0.0269001272 0.0040263855
0.8 1.3 0.0580133335 0.239023792 0.0861095364 0.0663221062 0.0196516314 0.0049040524 0.0012911014 0.001084891 0.0015258951 0.0021865097 0.0104979286 0.0255308907 0.0064080882
0.8 1.35 0.0640684247 0.246700553 0.0918159591 0.0643359282 0.0173541298 0.0040215701 0.0007116881 0.0007684793 0.000419169 0.0006701232 0.0046982723 0.0200536242 0.0080109631
0.8 1.4 0.0725516182 0.253041269 0.0964053794 0.0607415789 0.0149701833 0.0032160866 0.0003772567 0.0008855056 0.0002151089 0.0001526559 0.001189646 0.012599895 0.0080190719
0.8 1.45 0.0832065879 0.257969489 0.0992678136 0.0553441609 0.0125054103 0.0024653472 0.0001846355 0.0010138128 0.0003221996 0.0001428105 1.86E-05 0.0058202863 0.0064282639
0.8 1.5 0.0963726045 0.26153692 0.100124665 0.0483694257 0.0100769344 0.0017648528 0.0001094346 0.0010025134 0.0004032021 0.0002353754 0.0003587282 0.0015558047 0.0040488495
0.8 1.55 0.112718517 0.264193447 0.0992655925 0.040482738 0.007844251 0.0011355533 0.0001981021 0.0008987956 0.0003549564 0.0002468058 0.0011102523 5.31E-05 0.0019597708
0.8 1.6 0.132978611 0.266699729 0.0972626976 0.0325259195 0.0059498999 0.0006347664 0.0004851916 0.0008039673 0.0002258984 0.0001837187 0.0014756144 0.0002581806 0.000792722
0.8 1.65 0.157649085 0.269253591 0.0943419731 0.0251988942 0.0045009973 0.0003273056 0.0009059009 0.0007717034 0.0001105476 0.0001131671 0.0012432271 0.0008297 0.0004219515
